condition,run,model,triples_seen_in_training,test_frequency,training_frequency
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'l')",97,43
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'lɡ', 'lɡ')",6,84
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'lɡ', 'lɡ')",6,84
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'lɡ', 'lɡ')",6,84
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'lɡ', 'lɡ')",6,84
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'lɡ', 'lɡ')",6,84
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'lɡ', 'lɡ')",6,84
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('l', 'l', 'lɡ')",70,39
50L_50NL,1,50L_50NL_1_3,"('lɡ', 'lɡ', 'lɡ')",1,50
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 's', 's')",423,429
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('s', 'sk', 's')",1744,1828
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
50L_50NL,1,50L_50NL_1_3,"('sk', 'sk', 's')",1655,1455
